lambda,test_auc,valid_auc,exp_id,dir,pred_corr,init_corr,rate_corr,h2_functional,h3_discriminant,h3_latent,mean_corr
0.0,0.8317439886253382,0.8388803638497155,213708,20251221_101651_idkt_pareto_v2_l0.00_assist2009_213708,0.3949103782824992,0.9992848795740688,0.9998412575942707,0.26524007887043083,-0.11637809386899856,-0.032512010437737625,0.7980121718169463
0.05,0.8345002605649462,0.8429934000828639,804599,20251221_101656_idkt_pareto_v2_l0.05_assist2009_804599,0.4491647327589028,0.9896026024761259,0.9882825626466951,0.2836461526933914,-0.11730455459525369,-0.03253883912495614,0.8090166326272413
0.1,0.8322239427903813,0.8397649409373837,839009,20251221_101701_idkt_pareto_v2_l0.10_assist2009_839009,0.5226468665556447,0.9838045946072169,0.9837092393699363,0.2949207535035568,-0.11621183633242893,-0.032989868530566374,0.830053566844266
0.15,0.8255799358966986,0.8320921332186482,440932,20251221_101706_idkt_pareto_v2_l0.15_assist2009_440932,0.6102041116857951,0.9770534493602056,0.9784630959503516,0.30731272723135084,-0.12144620179480557,-0.033080479432697214,0.8552402189987841
0.2,0.8175039317887891,0.8223948508925087,440389,20251221_101711_idkt_pareto_v2_l0.20_assist2009_440389,0.6764755302617523,0.9744716756526588,0.9826937013030116,0.30930299151259577,-0.11396048786823262,-0.033012438231394846,0.8778803024058076
0.25,0.8080502885609662,0.8128615478305743,524548,20251221_101716_idkt_pareto_v2_l0.25_assist2009_524548,0.7262950801530609,0.9720511669583528,0.9838502230575721,0.3122295254128852,-0.10975619257778049,-0.03292603976883416,0.8940654900563286
0.3,0.7984250459435905,0.8040441217418748,136906,20251221_101721_idkt_pareto_v2_l0.30_assist2009_136906,0.7612005002733544,0.9691078658692611,0.9813146640994683,0.31918189151469833,-0.11075607102461707,-0.033028114988919756,0.903874343414028
0.35,0.7885053478981247,0.7948947045185902,336878,20251221_101726_idkt_pareto_v2_l0.35_assist2009_336878,0.776199687131349,0.9826427256892338,0.9961675409992624,0.29048771669978557,-0.10082135138559149,-0.03300449414159185,0.9183366512732817
0.4,0.7828073709249938,0.789124794748929,687063,20251221_101731_idkt_pareto_v2_l0.40_assist2009_687063,0.7955506180730845,0.9820495198826141,0.9962347848287133,0.29073974399486574,-0.10013180320853518,-0.03300431845857424,0.9246116409281373
0.45,0.7780421079558092,0.7841543757303262,634520,20251221_123420_idkt_pareto_v2_l0.45_assist2009_634520,0.787609358200253,0.9886796133465756,0.9983350668442699,0.28276396491044,-0.10236894393454556,-0.03307618512542702,0.9248746794636995
0.5,0.7739728168082775,0.7800310748962235,531545,20251221_125357_idkt_pareto_v2_l0.50_assist2009_531545,0.798611167346707,0.9884266169549252,0.9983510873191317,0.28283240000242077,-0.10205973679576265,-0.033079373797021146,0.9284629572069214
0.55,0.7703856760381192,0.7764154477596745,311968,20251221_132506_idkt_pareto_v2_l0.55_assist2009_311968,0.8074346032027218,0.9882128374764078,0.9983620601666859,0.2828960051992738,-0.10183841364655508,-0.03307326628138312,0.9313365002819385
0.6,0.7670442558333598,0.7729451109901733,759634,20251221_133011_idkt_pareto_v2_l0.60_assist2009_759634,0.8141370266631661,0.9880393642954064,0.9983684494288726,0.2829425200593361,-0.10167378631775435,-0.03308164418620804,0.9335149467958149
0.65,0.7638098671678835,0.7695779801175396,354132,20251221_134418_idkt_pareto_v2_l0.65_assist2009_354132,0.8206323034401645,0.9878979804444998,0.9983719570198863,0.2829793721385828,-0.1015800310662614,-0.033083864977999616,0.9356340803015168
0.7,0.7607530344317665,0.7664091084177218,324242,20251221_134623_idkt_pareto_v2_l0.70_assist2009_324242,0.8263636547739466,0.987780552055179,0.9983741636312325,0.2830090039211256,-0.10148576201328131,-0.03307716399089665,0.9375061234867861
0.75,0.7578624726813623,0.7634859146460451,817607,20251221_134728_idkt_pareto_v2_l0.75_assist2009_817607,0.8314876383643256,0.9876779759653868,0.9983750247725689,0.2830350708128802,-0.10142273248331768,-0.03306785878390821,0.9391802130340938
0.8,0.755471471426486,0.7608128692389973,182261,20251221_134733_idkt_pareto_v2_l0.80_assist2009_182261,0.8273084054399977,0.9899227593794392,0.9988160264348233,0.28062996261277284,-0.1026228026205804,-0.033068596867400366,0.9386823970847534
0.85,0.7535125507558901,0.7584515920883521,841121,20251221_135309_idkt_pareto_v2_l0.85_assist2009_841121,0.8093726105258742,0.9944681366316532,0.9994839377063007,0.27570635033852214,-0.10575903377847243,-0.033108159875088555,0.9344415616212761
0.9,0.7514056672824018,0.7562289945395063,699533,20251221_145421_idkt_pareto_v2_l0.90_assist2009_699533,0.8128049797602784,0.9944267159608786,0.999483762787585,0.27571873648344347,-0.10572863477377792,-0.03310982978074294,0.9355718195029139
0.95,0.749337278357683,0.7540619778164799,520023,20251221_150027_idkt_pareto_v2_l0.95_assist2009_520023,0.8158198610639094,0.9943846050017877,0.9994828349804795,0.27573416492472014,-0.1056788184168588,-0.03310593621180949,0.9365624336820589
1.0,0.7478186210155826,0.7525876527467118,120580,20251221_160038_idkt_pareto_v2_l1.00_assist2009_120580,0.7708943991438473,0.9981650214220276,0.9998363748535108,0.27062836624026915,-0.1098444671905974,-0.03317512118642913,0.9229652651397954
