experiment_folder,lr,alignment_weight,consistency_weight,retention_weight,lag_gain_weight,peer_alignment_weight,gate_init_bias,beta_difficulty,attempt_confidence_k,gain_threshold,status,config_md5,best_epoch,val_auc,mastery_corr,gain_corr,mastery_corr_macro,gain_corr_macro,monotonicity_violation_rate,gain_future_alignment,AUC_rank,mastery_corr_rank,gain_corr_rank,AUC_norm,mastery_corr_norm,gain_corr_norm,combined_score,combined_rank
20251028_042103_gainakt3_sw1_lr0.001_align0.05_cons0.2_ret0.0_lag0.05_peerA0.0,0.001,0.05,0.2,0.0,0.05,0.0,-1.0,1.0,5.0,0.01,completed,5ea7aa223709fbbb94a11a404ac1a077,2,0.6818110453495186,0.0950782206325341,0.01649139541659564,0.6537971289706803,-0.0005119318672662534,0.4994011497191251,0.0033572715775184005,6,12,3,0.8345,0.0,0.8929,0.5958,5
20251028_042423_gainakt3_sw2_lr0.0001_align0.05_cons0.2_ret0.0_lag0.05_peerA0.05,0.0001,0.05,0.2,0.0,0.05,0.05,-1.0,1.0,5.0,0.01,completed,359f90036a308cd331e84a2a197e5206,5,0.678544558674651,0.3394162708859515,0.010033519692606043,0.6662645854779009,-0.002569418566496292,0.49976872881966977,-0.009392863817279709,12,3,11,0.0,1.0,0.2069,0.3414,12
20251028_042740_gainakt3_sw3_lr0.001_align0.0_cons0.2_ret0.05_lag0.05_peerA0.05,0.001,0.0,0.2,0.05,0.05,0.05,-1.0,0.5,5.0,0.01,completed,c7dec5a974c372bacdeda185a848bf18,2,0.6818193797718836,0.11299214766079803,0.017500077770482552,0.653627516614908,-0.0005789906187667191,0.49916956718384364,0.003940744084284361,5,11,2,0.8366,0.0733,1.0,0.6403,4
20251028_043059_gainakt3_sw4_lr0.0001_align0.15_cons0.2_ret0.05_lag0.05_peerA0.0,0.0001,0.15,0.2,0.05,0.05,0.0,-2.0,1.0,10.0,0.01,completed,f9dbf4b622dbeeb0de0f45d3727e1d7a,5,0.678544558674651,0.3394162708859515,0.010033519692606043,0.6662645854779009,-0.002569418566496292,0.49976872881966977,-0.009392863817279709,11,2,10,0.0,1.0,0.2069,0.3414,11
20251028_043424_gainakt3_sw5_lr0.0003_align0.15_cons0.0_ret0.0_lag0.0_peerA0.05,0.0003,0.15,0.0,0.0,0.0,0.05,-2.0,0.5,5.0,0.01,completed,75a6dc4e7abc8d50bcddd46ba315f2bc,4,0.6824589091278064,0.2548050940808095,0.012059628729613065,0.6598485445414431,-0.0023746895533110117,0.49895168426641495,-0.010110211275008489,2,8,5,1.0,0.6537,0.4221,0.7805,2
20251028_043745_gainakt3_sw6_lr0.0001_align0.0_cons0.2_ret0.05_lag0.0_peerA0.05,0.0001,0.0,0.2,0.05,0.0,0.05,-2.0,0.5,10.0,0.01,completed,600026f41cfbd5f61715c828809673e1,5,0.6785482015053971,0.3387437969027242,0.01008929861818161,0.6661437106266286,-0.0025244534187040344,0.49977838082315695,-0.00965041796842582,9,6,8,0.0009,0.9972,0.2128,0.3422,9
20251028_044107_gainakt3_sw7_lr0.0001_align0.05_cons0.2_ret0.0_lag0.0_peerA0.0,0.0001,0.05,0.2,0.0,0.0,0.0,-2.0,0.5,10.0,0.01,completed,907b890329a78ee43d77d0acdc2d7307,5,0.6785482015053971,0.3387437969027242,0.01008929861818161,0.6661437106266286,-0.0025244534187040344,0.49977838082315695,-0.00965041796842582,8,5,7,0.0009,0.9972,0.2128,0.3422,8
20251028_044428_gainakt3_sw8_lr0.0003_align0.05_cons0.2_ret0.0_lag0.05_peerA0.05,0.0003,0.05,0.2,0.0,0.05,0.05,-2.0,0.5,5.0,0.01,completed,6e499826feb7a03952298545b0498f1a,4,0.6824589091278064,0.2548050940808095,0.012059628729613065,0.6598485445414431,-0.0023746895533110117,0.49895168426641495,-0.010110211275008489,1,7,4,1.0,0.6537,0.4221,0.7805,1
20251028_044750_gainakt3_sw9_lr0.0001_align0.05_cons0.2_ret0.05_lag0.05_peerA0.0,0.0001,0.05,0.2,0.05,0.05,0.0,-2.0,0.5,10.0,0.01,completed,e1c143edc15aa9427427aeb017a91c5b,5,0.6785482015053971,0.3387437969027242,0.01008929861818161,0.6661437106266286,-0.0025244534187040344,0.49977838082315695,-0.00965041796842582,7,4,6,0.0009,0.9972,0.2128,0.3422,7
20251028_045108_gainakt3_sw10_lr0.001_align0.05_cons0.2_ret0.0_lag0.0_peerA0.0,0.001,0.05,0.2,0.0,0.0,0.0,-2.0,0.5,5.0,0.01,completed,72cf2e89fcac7c65c20b1c240593acd7,2,0.6818193797718836,0.11299214766079803,0.017500077770482552,0.653627516614908,-0.0005789906187667191,0.49916956718384364,0.003940744084284361,4,10,1,0.8366,0.0733,1.0,0.6403,3
20251028_045424_gainakt3_sw11_lr0.001_align0.0_cons0.0_ret0.05_lag0.05_peerA0.05,0.001,0.0,0.0,0.05,0.05,0.05,-2.0,0.5,10.0,0.0,completed,b82eead6986954f4bbbb2b3e6ae7ae2e,2,0.6818193797718836,0.11299214766079803,0.008086010271742784,0.653627516614908,-0.0005789906187667191,0.49916956718384364,0.0017726521592233812,3,9,12,0.8366,0.0733,0.0,0.4403,6
20251028_045746_gainakt3_sw12_lr0.0001_align0.0_cons0.0_ret0.0_lag0.05_peerA0.0,0.0001,0.0,0.0,0.0,0.05,0.0,-1.0,1.0,5.0,0.01,completed,9edcd34a7040d9517aded1cab7cf61e6,5,0.678544558674651,0.3394162708859515,0.010033519692606043,0.6662645854779009,-0.002569418566496292,0.49976872881966977,-0.009392863817279709,10,1,9,0.0,1.0,0.2069,0.3414,10
