epoch,theta_global,beta_skill_mean,beta_skill_std,beta_skill_min,beta_skill_max,M_sat_mean,M_sat_std,M_sat_min,M_sat_max,gamma_student_mean,gamma_student_std,gamma_student_min,gamma_student_max,offset
1,0.817738,1.973515,0.010872,1.966519,2.022548,0.814316,0.012159,0.771735,0.829669,0.966665,0.000000,0.966665,0.966665,1.966997
2,0.785244,1.947980,0.021906,1.933359,2.046125,0.828059,0.024089,0.744757,0.859833,0.933958,0.000000,0.933958,0.933958,1.932993
3,0.752874,1.923213,0.033052,1.900461,2.069748,0.841277,0.035894,0.718480,0.889730,0.901840,0.000000,0.901840,0.901840,1.898383
4,0.720678,1.899122,0.044248,1.867804,2.093232,0.853960,0.047564,0.692819,0.919323,0.870284,0.000000,0.870284,0.870284,1.863308
5,0.688664,1.875621,0.055444,1.835373,2.116431,0.866106,0.059099,0.667737,0.948592,0.839266,0.000000,0.839266,0.839266,1.827868
6,0.656832,1.852630,0.066593,1.803151,2.139213,0.877721,0.070499,0.643203,0.977522,0.808767,0.000000,0.808767,0.808767,1.792151
7,0.625176,1.830072,0.077651,1.771127,2.161458,0.888809,0.081763,0.619200,1.005841,0.778768,0.000000,0.778768,0.778768,1.756233
8,0.593684,1.807860,0.088536,1.739290,2.182705,0.899298,0.092786,0.595707,1.031897,0.749251,0.000000,0.749251,0.749251,1.720190
9,0.562338,1.785878,0.099103,1.707629,2.202380,0.909034,0.103398,0.572709,1.056849,0.720195,0.000000,0.720195,0.720195,1.684109
10,0.531120,1.764005,0.109218,1.676134,2.219684,0.918016,0.113635,0.550190,1.080273,0.691581,0.000000,0.691581,0.691581,1.648073
11,0.500013,1.742167,0.118905,1.644799,2.235941,0.926422,0.123677,0.528137,1.104090,0.663401,0.000000,0.663401,0.663401,1.612112
12,0.469010,1.720325,0.128202,1.613614,2.251018,0.934358,0.133630,0.506535,1.128188,0.635649,0.000000,0.635649,0.635649,1.576243
