epoch,train_loss,train_auc,train_acc,val_loss,val_auc,val_acc,train_bce_loss,train_im_loss,val_bce_loss,val_im_loss,train_encoder1_auc,train_encoder1_acc,val_encoder1_auc,val_encoder1_acc,train_encoder2_auc,train_encoder2_acc,val_encoder2_auc,val_encoder2_acc
1,0.607720,0.495807,0.734370,0.607720,0.496592,0.740241,0.606005,0.607720,0.606005,0.607720,0.495807,0.734370,0.496592,0.740241,0.587414,0.734370,0.586550,0.740241
2,0.605743,0.501649,0.734370,0.605743,0.501758,0.740241,0.606471,0.605743,0.606471,0.605743,0.501649,0.734370,0.501758,0.740241,0.592119,0.734370,0.591158,0.740241
3,0.603920,0.500674,0.734370,0.603920,0.498875,0.740241,0.606614,0.603920,0.606614,0.603920,0.500674,0.734370,0.498875,0.740241,0.596281,0.734370,0.595435,0.740241
4,0.602253,0.500000,0.734370,0.602253,0.500000,0.740241,0.606627,0.602253,0.606627,0.602253,0.500000,0.734370,0.500000,0.740241,0.597617,0.734370,0.596466,0.740241
5,0.600730,0.500000,0.734370,0.600730,0.500000,0.740241,0.606628,0.600730,0.606628,0.600730,0.500000,0.734370,0.500000,0.740241,0.599632,0.734370,0.598010,0.740241
6,0.599272,0.500000,0.734370,0.599272,0.500000,0.740241,0.606628,0.599272,0.606628,0.599272,0.500000,0.734370,0.500000,0.740241,0.602433,0.734370,0.600389,0.740241
7,0.597895,0.500000,0.734370,0.597895,0.500000,0.740241,0.606628,0.597895,0.606628,0.597895,0.500000,0.734370,0.500000,0.740241,0.603884,0.734370,0.601423,0.740241
8,0.596703,0.500000,0.734370,0.596703,0.500000,0.740241,0.606628,0.596703,0.606628,0.596703,0.500000,0.734370,0.500000,0.740241,0.605126,0.734370,0.601320,0.740241
9,0.595710,0.500000,0.734370,0.595710,0.500000,0.740241,0.606628,0.595710,0.606628,0.595710,0.500000,0.734370,0.500000,0.740241,0.603466,0.734370,0.598778,0.740241
10,0.594826,0.500000,0.734370,0.594826,0.500000,0.740241,0.606628,0.594826,0.606628,0.594826,0.500000,0.734370,0.500000,0.740241,0.600352,0.734370,0.595910,0.740241
11,0.594046,0.500000,0.734370,0.594046,0.500000,0.740241,0.606628,0.594046,0.606628,0.594046,0.500000,0.734370,0.500000,0.740241,0.598169,0.734370,0.591787,0.740241
12,0.593337,0.500000,0.734370,0.593337,0.500000,0.740241,0.606628,0.593337,0.606628,0.593337,0.500000,0.734370,0.500000,0.740241,0.599075,0.734370,0.591855,0.740241
