epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.695,0.747,0.8840962086185683,0.695,1
2,0.7066,0.7509,0.8494838063005932,0.7066,2
3,0.7137,0.7535,0.8420383438062701,0.7137,3
4,0.719,0.7559,0.8368750140573487,0.719,4
5,0.722,0.7572,0.8337768762241807,0.722,5
6,0.7243,0.7573,0.8309876516132184,0.7243,6
7,0.7255,0.7575,0.829075764031936,0.7255,7
8,0.7268,0.7584,0.8280494134176015,0.7268,8
9,0.7268,0.7584,0.82658475621758,0.7268,8
10,0.7268,0.7584,0.826471588294036,0.7268,8
11,0.7282,0.7591,0.8240379114571256,0.7282,11
12,0.7282,0.7591,0.8241129500199348,0.7282,11
13,0.7298,0.7589,0.822585538115369,0.7298,13
14,0.7298,0.7589,0.822494250146733,0.7298,13
15,0.7298,0.7589,0.8223280970354304,0.7298,13
16,0.7298,0.7589,0.8209932592318594,0.7298,13
17,0.7298,0.7589,0.8206597050126893,0.7298,13
18,0.7311,0.7598,0.8196819567170459,0.7311,18
19,0.7311,0.7598,0.8190910721446995,0.7311,18
20,0.7311,0.7598,0.8190488073818941,0.7311,18
21,0.7311,0.7598,0.8176340234649406,0.7311,18
22,0.7326,0.7599,0.8176960273534114,0.7326,22
23,0.7326,0.7599,0.8172213679121398,0.7326,22
24,0.7326,0.7599,0.8175877419474542,0.7326,22
25,0.7326,0.7599,0.8157152530570376,0.7326,22
26,0.7326,0.7599,0.8155757537912142,0.7326,22
27,0.7326,0.7599,0.8161626821262834,0.7326,22
28,0.7326,0.7599,0.8148051838611218,0.7326,22
29,0.7326,0.7599,0.814673785221366,0.7326,22
30,0.7326,0.7599,0.8142923588069244,0.7326,22
31,0.7326,0.7599,0.8142256672384381,0.7326,22
32,0.7326,0.7599,0.81405694081741,0.7326,22
