epoch,lambda,val_total_auc,val_bce_auc,val_mastery_auc,val_total_acc,val_bce_acc,val_mastery_acc,val_total_loss,val_bce_loss,val_mastery_loss
1,1.0,0.7124,0.7124,,0.7505,0.7505,,,0.5344976434919636,
2,1.0,0.7207,0.7207,,0.7553,0.7553,,,0.5208248636359757,
3,1.0,0.7242,0.7242,,0.7565,0.7565,,,0.5165389704183719,
4,1.0,0.7261,0.7261,,0.7566,0.7566,,,0.5146516463224756,
5,1.0,0.7278,0.7278,,0.7564,0.7564,,,0.513281602135723,
6,1.0,0.7278,0.7278,,0.7564,0.7564,,,0.5121449575486269,
7,1.0,0.7296,0.7296,,0.7577,0.7577,,,0.5108067015994816,
8,1.0,0.7296,0.7296,,0.7577,0.7577,,,0.5099719004340569,
9,1.0,0.7296,0.7296,,0.7577,0.7577,,,0.5095016713725253,
10,1.0,0.7307,0.7307,,0.7575,0.7575,,,0.5083809308565953,
11,1.0,0.7307,0.7307,,0.7575,0.7575,,,0.5077313371007026,
12,1.0,0.7307,0.7307,,0.7575,0.7575,,,0.5068662374054528,
13,1.0,0.732,0.732,,0.7579,0.7579,,,0.5063383347692596,
14,1.0,0.732,0.732,,0.7579,0.7579,,,0.5055226035799121,
15,1.0,0.732,0.732,,0.7579,0.7579,,,0.5047895726242889,
16,1.0,0.732,0.732,,0.7579,0.7579,,,0.5042303697733159,
17,1.0,0.732,0.732,,0.7579,0.7579,,,0.5033725928597166,
18,1.0,0.732,0.732,,0.7579,0.7579,,,0.5030501901696249,
19,1.0,0.732,0.732,,0.7579,0.7579,,,0.5025111317665557,
20,1.0,0.732,0.732,,0.7579,0.7579,,,0.5016333265142642,
21,1.0,0.732,0.732,,0.7579,0.7579,,,0.500929701384029,
22,1.0,0.732,0.732,,0.7579,0.7579,,,0.5004206852828493,
23,1.0,0.732,0.732,,0.7579,0.7579,,,0.49976247330664303,
