epoch,valid_auc,valid_acc,train_loss,best_auc_so_far,best_epoch_so_far
1,0.7171902522814724,0.7505766479479119,0.5443371061834029,0.7171902522814724,1
2,0.7241408413242484,0.7534963843930355,0.5295487358162441,0.7241408413242484,2
3,0.7247298099628056,0.7531557484744377,0.5284167667127027,0.7247298099628056,3
4,0.720679119364608,0.749720191924009,0.527106619715073,0.7247298099628056,3
5,0.7125403285870772,0.7462846353735803,0.5223204984566091,0.7247298099628056,3
6,0.7016628596252881,0.7425668376334563,0.5124902785442036,0.7247298099628056,3
7,0.6913919650858097,0.7407274036730285,0.49577288707920925,0.7247298099628056,3
8,0.6819380013261087,0.7367370971980263,0.4759245361997674,0.7247298099628056,3
9,0.6775098176505332,0.725301462787959,0.447409473552605,0.7247298099628056,3
10,0.6574114571317564,0.7143037888446603,0.4002559845929319,0.7247298099628056,3
11,0.6432029943270706,0.7043669524764231,0.363432766705597,0.7247298099628056,3
12,0.629882143809687,0.6976028963785535,0.335970843780226,0.7247298099628056,3
summary_dataset,assist2015
summary_model,gainakt2exp
summary_experiment,optimal_v1
summary_seed,42
summary_epochs,12
summary_batch_size,64
summary_learning_rate,0.000174
summary_weight_decay,0.000017571
summary_best_auc,0.7247298099628056
summary_best_epoch,3
summary_final_epoch,12
summary_final_auc,0.629882143809687
summary_final_acc,0.6976028963785535
summary_d_model,512
summary_d_ff,1024
summary_num_attn_heads,8
summary_n_blocks,6
summary_dropout,0.2
summary_seq_len,200
summary_monotonicity_loss_weight,0.1
summary_mastery_performance_loss_weight,0.8
summary_gain_performance_loss_weight,0.8
summary_sparsity_loss_weight,0.2
summary_consistency_loss_weight,0.3
summary_alignment_weight,0.25
summary_alignment_enabled,False
summary_global_alignment_enabled,False
summary_retention_weight,0.14
summary_retention_enabled,False
summary_lag_gain_weight,0.06
summary_lag_enabled,False
summary_alignment_warmup_epochs,8
summary_alignment_min_correlation,0.05
summary_alignment_share_cap,0.08
summary_alignment_share_decay_factor,0.7
summary_scheduler,reduce_on_plateau
summary_gradient_clip,1.0
summary_devices,0|1|2|3|4
summary_config_md5,76c1b30682d848bb46b071203face724
