lambda,test_auc,valid_auc,exp_id,dir,probe_pearson,probe_selectivity,init_corr,rate_corr,h2_functional,fidelity
0.0,0.7248411605413965,0.7299656330737149,566415,20251231_010600_idkt_assist2015_S_hr_sweep_l0.0_566415,0.61316718213382,0.4308777098863995,0.004376459804042837,-0.10825567700620008,0.10028019724863571,-0.0011996733178405116
0.1,0.7244790202663135,0.7304838071582685,583775,20251231_010602_idkt_assist2015_S_hr_sweep_l0.1_583775,0.5955894991729072,0.37012219894209375,0.9159559193974501,0.8828350060238531,0.20302536157521453,0.6672720956655059
0.2,0.718107666668371,0.7248763448825433,913249,20251231_010604_idkt_assist2015_S_hr_sweep_l0.2_913249,0.6127211125018419,0.39005084135369383,0.897353748507898,0.8421876106120595,0.19647027427306812,0.6453372111310085
0.3,0.7112009968975075,0.7178767237821712,425317,20251231_010606_idkt_assist2015_S_hr_sweep_l0.3_425317,0.6270367997370824,0.4077887348801611,0.8630706330282084,0.7859849062001527,0.179367605697326,0.6094743816418957
0.4,0.7046915392897211,0.7111175265913248,139971,20251231_010608_idkt_assist2015_S_hr_sweep_l0.4_139971,0.6305030974390006,0.5135053908126482,0.8820464825189394,0.826341409837845,0.20468675749531198,0.6376915499506988
0.5,0.6974955135268266,0.7048947490695345,906745,20251231_010610_idkt_assist2015_S_hr_sweep_l0.5_906745,0.6070965463403515,0.3839346192379409,0.8207693491126727,0.7223382562752254,0.16432618330483373,0.5691445962309106
0.6,0.6918430498274404,0.6994132191738958,354586,20251231_010612_idkt_assist2015_S_hr_sweep_l0.6_354586,0.6296281613542759,0.41107419039682336,0.7834727864002355,0.6647760483799294,0.15277187709230153,0.5336735706241554
0.7,0.6873822689958158,0.694973883981707,958057,20251231_010614_idkt_assist2015_S_hr_sweep_l0.7_958057,0.6334583147083771,0.4105482123733627,0.7820082850027171,0.6643484602683942,0.1530422457825974,0.533132997017903
0.8,0.6829914240893393,0.6914583118081986,345188,20251231_010616_idkt_assist2015_S_hr_sweep_l0.8_345188,0.5973142594524459,0.37937753580440636,0.7249431318529417,0.5821218092354032,0.14120132813103026,0.4827554230731251
1.0,0.6762743968112179,0.6850713268887474,285100,20251231_010618_idkt_assist2015_S_hr_sweep_l1.0_285100,0.6276821253741826,0.4122398652669915,0.7242183276620009,0.5826759679620207,0.14144810569687116,0.4827808004402976
