lambda,timestamp,auc,corr,mse,im_corr,rt_corr,dir
0.0,20251219_165430,0.8355621493157217,0.49892889607416563,0.07661347091197968,0.9994537048441174,0.9974312874809268,20251219_165430_idkt_pareto_highres_l0.00_854257
0.05,20251219_165435,0.8364375054516966,0.5458315665233662,0.07060781866312027,0.9994683605569898,0.9975664499357655,20251219_165435_idkt_pareto_highres_l0.05_912367
0.1,20251219_165440,0.8372340107177628,0.5717759542071698,0.06399516761302948,0.999571926735804,0.9985027265875926,20251219_165440_idkt_pareto_highres_l0.10_961711
0.15,20251219_165445,0.8302401892453474,0.6512487116698591,0.04751396179199219,0.9995934542160547,0.9989221580906421,20251219_165445_idkt_pareto_highres_l0.15_171474
0.2,20251219_165450,0.8223771034240571,0.7071092287390678,0.03688157722353935,0.9995938776809149,0.9990667002674914,20251219_165450_idkt_pareto_highres_l0.20_663284
0.25,20251219_165455,0.8136506045384829,0.749521628506793,0.029876332730054855,0.9996328120548158,0.9993755297502435,20251219_165455_idkt_pareto_highres_l0.25_507451
0.3,20251219_165500,0.8046601680126992,0.7830181318872966,0.02455524168908596,0.9996384776170366,0.9993963584395844,20251219_165500_idkt_pareto_highres_l0.30_511893
0.35,20251219_165505,0.7974373157172863,0.804808704587161,0.021106723695993423,0.9996660284926747,0.9993666897087771,20251219_165505_idkt_pareto_highres_l0.35_143539
0.4,20251219_165510,0.7907682609116273,0.8189267832094586,0.02043096534907818,0.9995252871841722,0.9982836802957519,20251219_165510_idkt_pareto_highres_l0.40_708356
0.45,20251219_165515,0.7847724546846104,0.831673792895501,0.017860233783721924,0.9995398521545052,0.9980026583189086,20251219_165515_idkt_pareto_highres_l0.45_285116
0.5,20251219_165520,0.7799112080126094,0.8433347408966252,0.016086546704173088,0.9995400393000289,0.9980113971646195,20251219_165520_idkt_pareto_highres_l0.50_363935
0.55,20251219_165525,0.7741673742844687,0.7976745407489066,0.018270056694746017,0.9980920408593615,0.985371960978289,20251219_165525_idkt_pareto_highres_l0.55_148263
0.6,20251219_194022,0.770826396038439,0.8048618632341085,0.017352400347590446,0.998120389357466,0.9855373652878477,20251219_194022_idkt_pareto_highres_l0.60_290359
0.65,20251219_203704,0.7677267080186342,0.8110797673127285,0.016614170745015144,0.9981445965576432,0.9856912249625601,20251219_203704_idkt_pareto_highres_l0.65_207343
0.7,20251219_203809,0.7648796591140741,0.81667418887336,0.015864241868257523,0.9981679039006887,0.9858225524574415,20251219_203809_idkt_pareto_highres_l0.70_784579
0.75,20251219_210919,0.7620977937462088,0.8216472714025351,0.015294850803911686,0.9981904608712431,0.9858756766935207,20251219_210919_idkt_pareto_highres_l0.75_644771
0.8,20251219_211024,0.7595812207550434,0.8258349059243197,0.014776544645428658,0.9982107724896135,0.9859828521208943,20251219_211024_idkt_pareto_highres_l0.80_265129
0.85,20251219_212101,0.7570317017494808,0.8256483113396704,0.014324394054710865,0.9976077379830317,0.9823592426049871,20251219_212101_idkt_pareto_highres_l0.85_756271
0.9,20251219_213408,0.7548587496900616,0.8286293135637878,0.014052706770598888,0.9976295287815429,0.9824376984101204,20251219_213408_idkt_pareto_highres_l0.90_618188
0.95,20251219_213513,0.7523374741674698,0.808798459796163,0.014081206172704697,0.9924564846029393,0.9493089127342714,20251219_213513_idkt_pareto_highres_l0.95_669284
1.0,20251219_214519,0.7505901555274048,0.8114343476285314,0.013798613101243973,0.9925598032859041,0.9496057739838554,20251219_214519_idkt_pareto_highres_l1.00_154228
